fua_code,slope,slope_degrees,p_value,mean_annual_change_pct
AL001L1,0.89,41.63,0.0,0.9682
AL003L1,1.33,52.96,0.0,1.7971
AL004L1,0.56,29.2,0.0,0.2818
AL005L0,1.28,51.93,0.0,1.7505
AT001L3,0.12,6.97,0.67,1.1427
AT002L3,0.08,4.84,0.77,-0.3514
AT003L3,0.4,21.71,0.06,0.3808
AT004L3,0.23,13.16,0.05,0.3069
AT005L3,0.42,22.6,0.03,-0.0875
AT006L2,-0.02,-1.42,0.85,-0.2462
BA002L1,0.27,15.28,0.17,1.7316
BE001L2,0.12,6.78,0.62,-1.0195
BE002L2,0.32,17.79,0.13,-0.1852
BE003L2,0.13,7.51,0.55,-0.5908
BE004L2,0.09,5.08,0.58,-0.8172
BE005L2,0.21,11.62,0.29,-0.5771
BE006L2,0.35,19.37,0.17,-0.3715
BE007L2,-0.11,-6.3,0.52,-0.9845
BE008L1,0.4,21.82,0.1,-0.3445
BE009L1,0.28,15.88,0.38,-0.8833
BE010L1,0.11,6.14,0.69,-0.6882
BE011L1,0.33,18.11,0.17,0.0666
BG001L2,0.73,36.32,0.09,1.4284
BG002L2,1.29,52.32,0.0,3.2392
BG003L2,0.87,40.94,0.0,0.6538
BG004L2,1.38,54.13,0.0,2.623
BG005L1,1.39,54.22,0.0,6.0384
BG006L2,1.51,56.45,0.0,5.4523
BG007L2,1.31,52.66,0.01,6.6803
BG008L2,1.47,55.77,0.0,3.4873
BG009L1,1.06,46.75,0.0,1.8464
BG010L1,0.95,43.38,0.01,2.3355
BG011L1,0.99,44.7,0.0,2.3335
BG013L1,1.27,51.87,0.0,5.8049
BG014L1,1.75,60.3,0.0,6.1332
BG015L1,1.25,51.32,0.0,8.5614
BG016L1,1.05,46.37,0.0,1.9461
BG017L1,1.54,56.99,0.0,2.6335
BG018L1,1.11,48.09,0.06,3.472
CH001L2,0.33,18.28,0.0,0.0755
CH002L2,0.36,19.63,0.01,-0.1137
CH003L2,0.45,24.4,0.0,0.071
CH004L2,0.48,25.69,0.0,0.0649
CH005L2,0.38,20.57,0.01,-0.0955
CH006L1,0.23,12.72,0.06,-0.0034
CH007L2,0.41,22.34,0.1,-0.0248
CH008L2,0.32,17.57,0.06,0.1031
CH009L2,0.83,39.7,0.09,0.4589
CH010L1,0.22,12.26,0.06,-0.1911
CY001L2,0.74,36.62,0.01,3.5354
CY501L2,1.07,46.95,0.0,2.6918
CZ001L2,0.39,21.55,0.19,0.3021
CZ002L2,0.18,10.22,0.56,0.7386
CZ003L2,0.82,39.22,0.04,-0.0922
CZ004L2,0.42,22.58,0.18,0.4775
CZ005L2,0.15,8.74,0.5,-0.0914
CZ006L2,0.4,21.97,0.17,0.132
CZ007L2,0.19,10.88,0.46,-0.1075
CZ008L2,0.78,37.9,0.0,1.5326
CZ009L2,0.22,12.53,0.5,0.0446
CZ010L2,0.4,21.69,0.24,0.2392
CZ011L2,0.43,23.04,0.11,0.8096
CZ013L2,0.17,9.74,0.5,-0.5937
CZ014L2,0.53,27.78,0.06,0.0812
CZ016L2,0.51,26.99,0.03,-0.4481
CZ018L2,0.61,31.56,0.03,-0.4027
DE001L1,0.53,28.14,0.01,0.3495
DE002L1,0.17,9.58,0.52,0.0931
DE003L1,0.5,26.38,0.06,-0.3156
DE004L1,0.33,18.07,0.14,-0.5822
DE005L1,0.32,17.92,0.22,-0.4391
DE007L1,0.43,23.39,0.1,-0.3051
DE008L2,0.73,36.03,0.02,1.9753
DE009L2,0.56,29.1,0.02,1.0098
DE011L1,0.33,18.41,0.15,-0.584
DE012L1,0.22,12.25,0.44,0.0569
DE013L1,0.48,25.87,0.11,0.2356
DE014L1,0.57,29.55,0.03,-0.1315
DE017L0,0.29,16.31,0.32,-0.1703
DE018L1,0.89,41.76,0.02,1.4564
DE019L2,0.6,30.81,0.03,0.0427
DE020L1,0.39,21.09,0.22,-0.154
DE021L1,0.46,24.82,0.24,-0.4977
DE025L1,0.56,29.2,0.06,0.3293
DE026L1,0.96,43.73,0.04,-0.7104
DE027L1,0.59,30.59,0.0,0.4458
DE028L1,0.46,24.84,0.08,-0.1139
DE029L0,0.44,23.63,0.08,0.4206
DE030L1,0.3,16.59,0.52,-0.3115
DE031L1,0.23,13.11,0.33,-0.0578
DE032L1,0.36,19.65,0.27,0.1165
DE033L1,0.51,27.1,0.12,-0.6658
DE034L1,0.4,21.71,0.08,-0.3887
DE035L1,0.5,26.46,0.12,-0.6116
DE036L0,0.42,23.0,0.12,-0.4396
DE037L1,0.41,22.49,0.2,-0.9029
DE038L1,0.18,10.08,0.48,-0.611
DE039L1,0.23,13.14,0.39,0.1034
DE040L1,0.85,40.49,0.03,-0.6067
DE042L1,0.53,27.83,0.16,-0.7405
DE043L2,0.24,13.49,0.31,-0.2571
DE044L1,0.51,26.97,0.08,-0.6505
DE045L1,0.09,4.99,0.76,-0.5523
DE048L1,0.21,11.98,0.54,-0.3307
DE050L1,0.52,27.43,0.04,-0.2131
DE051L1,0.48,25.47,0.03,0.0017
DE052L1,0.11,6.29,0.61,-0.1223
DE053L1,0.22,12.46,0.51,-0.5562
DE054L1,0.36,19.64,0.04,-0.2431
DE055L0,0.27,15.02,0.27,-0.2058
DE056L0,0.43,23.45,0.15,-0.0449
DE057L1,0.36,19.77,0.3,-0.5657
DE058L1,0.44,23.95,0.16,-0.0287
DE059L1,0.43,23.11,0.2,-0.5068
DE060L1,0.73,36.24,0.04,0.3787
DE061L1,0.39,21.49,0.22,-0.3642
DE062L1,0.45,24.2,0.18,-0.5365
DE063L1,0.51,27.16,0.12,-0.6278
DE064L1,0.48,25.78,0.05,-0.038
DE065L1,0.14,7.95,0.58,-0.3214
DE066L1,0.93,42.93,0.03,0.1894
DE067L1,0.47,25.27,0.12,0.0822
DE069L1,0.5,26.4,0.07,0.2423
DE071L1,0.35,19.29,0.2,-0.4195
DE072L1,0.44,23.51,0.03,-0.0715
DE073L1,0.45,24.33,0.03,0.1595
DE074L1,0.46,24.66,0.05,0.4251
DE077L1,0.22,12.48,0.37,-0.3046
DE078L1,0.29,16.03,0.18,-0.0434
DE079L1,0.25,13.95,0.52,-0.0367
DE081L1,0.28,15.76,0.12,-0.0441
DE082L0,0.62,31.9,0.08,0.1705
DE083L1,0.35,19.37,0.2,-0.4934
DE084L1,0.59,30.6,0.04,-0.4203
DE504L1,0.33,18.04,0.34,-0.792
DE505L0,0.42,22.58,0.07,-0.1912
DE507L1,0.4,22.0,0.06,-0.1725
DE508L0,0.36,19.81,0.22,-0.564
DE510L1,0.13,7.68,0.69,0.1713
DE513L1,0.37,20.11,0.42,-0.816
DE516L0,0.13,7.44,0.53,-0.521
DE517L1,0.47,25.07,0.25,-0.3109
DE520L1,0.31,17.48,0.39,-0.4862
DE522L1,0.28,15.47,0.31,-0.6327
DE523L1,0.25,13.95,0.49,-0.5488
DE524L2,0.11,6.29,0.69,-0.6596
DE527L1,0.19,10.61,0.57,-0.3503
DE529L1,0.19,10.58,0.48,-0.8195
DE530L0,-0.07,-3.8,0.7,-0.4668
DE532L1,0.51,26.87,0.18,-0.4786
DE533L1,0.3,16.75,0.29,-0.5506
DE534L1,0.47,25.35,0.13,-0.5459
DE535L1,0.76,37.3,0.02,0.1915
DE537L1,0.28,15.49,0.17,-0.2206
DE539L1,0.45,24.1,0.05,0.9004
DE540L2,0.16,8.92,0.6,-0.0006
DE542L1,0.25,13.85,0.49,-0.5063
DE544L1,0.52,27.35,0.06,-0.4675
DE546L0,0.02,1.25,0.91,-0.4574
DE547L2,0.43,23.37,0.1,0.0089
DE548L1,0.16,9.31,0.47,-0.7857
DE549L1,0.41,22.23,0.19,-0.6246
DK001L2,0.03,1.45,0.92,-0.5112
DK002L3,0.12,6.61,0.76,0.9368
DK003L2,0.18,10.38,0.62,0.1557
DK004L3,-0.11,-6.53,0.71,-0.3844
EE001L1,0.05,3.15,0.87,0.3432
EE002L1,0.04,2.06,0.91,0.2346
EE003L0,0.03,1.71,0.93,0.7071
EL001L1,1.26,51.62,0.0,2.3556
EL002L1,1.69,59.41,0.0,8.6853
EL003L1,1.42,54.88,0.0,2.7217
EL004L1,1.17,49.52,0.0,4.0721
EL005L1,1.23,50.96,0.0,5.5856
EL006L1,1.6,57.97,0.0,3.971
EL007L1,1.52,56.59,0.0,1.855
EL008L1,1.48,55.87,0.0,4.0961
EL009L1,1.0,44.93,0.0,1.1404
ES001L3,0.91,42.26,0.0,1.9898
ES002L2,1.15,48.87,0.0,2.4942
