fua_code,fua_name,slope,slope_degrees,p_value,mean_annual_change_pct
AL001L1,Tirana,0.8957,41.85,0.0,0.964
AL003L1,Elbasan,1.333,53.12,0.0,1.8056
AL004L1,ShkodÃ«r,0.5594,29.22,0.0,0.2751
AL005L0,VlorÃ«,1.3076,52.59,0.0,1.7496
AT001L3,Wien,0.1236,7.05,0.67,1.1303
AT002L3,Graz,0.0778,4.45,0.79,-0.3688
AT003L3,Linz,0.3985,21.73,0.06,0.3709
AT004L3,Salzburg,0.2441,13.72,0.05,0.318
AT005L3,Innsbruck,0.3999,21.8,0.05,-0.1631
AT006L2,Klagenfurt,-0.0089,-0.51,0.95,-0.2236
BA002L1,Banja Luka,0.2559,14.35,0.23,1.3299
BE001L2,Bruxelles / Brussel,-0.0073,-0.42,0.97,-1.021
BE002L2,Antwerpen,0.2776,15.52,0.15,-0.1864
BE003L2,Gent,0.1245,7.1,0.57,-0.5893
BE004L2,Charleroi,0.0328,1.88,0.83,-0.8226
BE005L2,LiÃ¨ge,0.1087,6.2,0.46,-0.5779
BE006L2,Brugge,0.3047,16.95,0.21,-0.3755
BE007L2,Namur,-0.2434,-13.68,0.15,-0.9829
BE008L1,Leuven,0.2312,13.02,0.24,-0.3419
BE009L1,Mons,0.2854,15.93,0.38,-0.8866
BE010L1,Kortrijk,0.0557,3.19,0.83,-0.684
BE011L1,Oostende,0.3291,18.22,0.17,0.0727
BG001L2,Sofia,0.7242,35.91,0.09,1.4311
BG002L2,Plovdiv,1.2844,52.1,0.0,3.2411
BG003L2,Varna,0.8754,41.2,0.0,0.657
BG004L2,Burgas,1.3881,54.23,0.0,2.6259
BG005L1,Pleven,1.3862,54.19,0.0,6.0526
BG006L2,Ruse,1.5182,56.63,0.0,5.3838
BG007L2,Vidin,1.3323,53.11,0.01,6.6101
BG008L2,Stara Zagora,1.4731,55.83,0.0,3.4966
BG009L1,Sliven,1.0507,46.42,0.0,1.8454
BG010L1,Dobrich,0.9452,43.39,0.01,2.3404
BG011L1,Shumen,0.9908,44.73,0.0,2.3315
BG013L1,Yambol,1.2783,51.96,0.0,5.82
BG014L1,Haskovo,1.7553,60.33,0.0,6.1137
BG015L1,Pazardzhik,1.2424,51.17,0.0,8.5156
BG016L1,Blagoevgrad,1.0105,45.3,0.0,1.9417
BG017L1,Veliko Tarnovo,1.5391,56.99,0.0,2.6228
BG018L1,Vratsa,1.1145,48.1,0.06,3.478
CH001L2,ZÃ¼rich,0.3317,18.35,0.0,0.0772
CH002L2,GenÃ¨ve,0.3656,20.08,0.01,-0.0903
CH003L2,Basel,0.4494,24.2,0.01,-0.0085
CH004L2,Bern,0.4784,25.57,0.0,0.0586
CH005L2,Lausanne,0.3735,20.48,0.01,-0.098
CH006L1,Winterthur,0.2274,12.81,0.06,-0.0036
CH007L2,St. Gallen,0.2674,14.97,0.07,-0.0254
CH008L2,Luzern,0.3124,17.35,0.05,0.1029
CH009L2,Lugano,0.838,39.96,0.08,0.4856
CH010L1,Biel/Bienne,0.218,12.3,0.06,-0.1908
CY001L2,Lefkosia,0.7427,36.6,0.01,3.5268
CY501L2,Lemesos,1.0762,47.1,0.0,2.7027
CZ001L2,Praha,0.3908,21.34,0.19,0.3026
CZ002L2,Brno,0.1799,10.2,0.56,0.7443
CZ003L2,Ostrava,0.8126,39.1,0.04,-0.1065
CZ004L2,PlzeÅ,0.4075,22.17,0.18,0.4714
CZ005L2,ÃstÃ­ nad Labem,0.1134,6.47,0.61,-0.1746
CZ006L2,Olomouc,0.4051,22.05,0.17,0.135
CZ007L2,Liberec,0.1933,10.94,0.46,-0.1077
CZ008L2,ÄeskÃ© BudÄjovice,0.7824,38.04,0.0,1.5346
CZ009L2,Hradec KrÃ¡lovÃ©,0.2249,12.67,0.5,0.0571
CZ010L2,Pardubice,0.4,21.8,0.23,0.2484
CZ011L2,ZlÃ­n,0.382,20.91,0.18,0.8155
CZ013L2,Karlovy Vary,0.165,9.37,0.51,-0.5967
CZ014L2,Jihlava,0.5277,27.82,0.06,0.0811
CZ016L2,Most,0.4825,25.76,0.05,-0.4714
CZ018L2,Chomutov-Jirkov,0.6051,31.18,0.03,-0.4138
DE001L1,Berlin,0.5063,26.85,0.02,0.2663
DE002L1,Hamburg,0.1453,8.27,0.59,0.0898
DE003L1,MÃ¼nchen,0.4909,26.15,0.06,-0.3188
DE004L1,KÃ¶ln,0.3156,17.52,0.15,-0.5933
DE005L1,Frankfurt am Main,0.2712,15.17,0.33,-0.6158
DE007L1,Stuttgart,0.4284,23.19,0.1,-0.3112
DE008L2,Leipzig,0.698,34.92,0.04,1.8725
DE009L2,Dresden,0.5446,28.57,0.03,0.9621
DE011L1,DÃ¼sseldorf,0.2991,16.65,0.17,-0.6037
DE012L1,Bremen,0.0973,5.56,0.74,-0.0062
DE013L1,Hannover,0.464,24.89,0.13,0.116
DE014L1,NÃ¼rnberg,0.572,29.77,0.03,-0.1306
DE017L0,Bielefeld,0.2682,15.02,0.37,-0.27
DE018L1,Halle an der Saale,0.8534,40.48,0.03,1.4585
DE019L2,Magdeburg,0.5388,28.32,0.05,0.0374
DE020L1,Wiesbaden,0.3252,18.01,0.32,-0.3939
DE021L1,GÃ¶ttingen,0.4425,23.87,0.27,-0.5731
DE025L1,Darmstadt,0.4557,24.5,0.15,-0.2354
DE026L1,Trier,0.954,43.65,0.04,-0.7069
DE027L1,Freiburg im Breisgau,0.5603,29.26,0.0,0.2983
DE028L1,Regensburg,0.4665,25.01,0.08,-0.1166
DE029L0,Frankfurt (Oder),0.4052,22.06,0.11,0.2819
DE030L1,Weimar,0.2401,13.5,0.63,-0.3133
DE031L1,Schwerin,0.2219,12.51,0.36,-0.0428
DE032L1,Erfurt,0.2962,16.5,0.39,0.0714
DE033L1,Augsburg,0.4988,26.51,0.12,-0.6686
DE034L1,Bonn,0.3849,21.05,0.1,-0.408
DE035L1,Karlsruhe,0.4941,26.3,0.13,-0.6356
DE036L0,MÃ¶nchengladbach,0.2351,13.23,0.29,-0.452
DE037L1,Mainz,0.3636,19.98,0.29,-1.1262
DE038L1,Ruhrgebiet,0.1252,7.14,0.58,-0.6098
DE039L1,Kiel,0.1058,6.04,0.74,0.1321
DE040L1,SaarbrÃ¼cken,0.7375,36.41,0.03,-0.6177
DE042L1,Koblenz,0.4222,22.89,0.27,-0.925
DE043L2,Rostock,0.1774,10.06,0.48,-0.2511
DE044L1,Kaiserslautern,0.4949,26.33,0.09,-0.6671
DE045L1,Iserlohn,-0.0266,-1.52,0.92,-0.5681
DE048L1,Wilhelmshaven,0.1667,9.47,0.61,-0.3307
