fua_code,Year,Gini
AL001L1,2000,0.3896
AL001L1,2001,0.3951
AL001L1,2002,0.382
AL001L1,2003,0.4231
AL001L1,2004,0.3911
AL001L1,2005,0.46936
AL001L1,2006,0.40731
AL001L1,2007,0.44406
AL001L1,2008,0.4348
AL001L1,2009,0.38756
AL001L1,2010,0.39178
AL001L1,2011,0.40818
AL001L1,2014,0.36898
AL001L1,2015,0.38334
AL001L1,2016,0.36447
AL001L1,2017,0.38575
AL001L1,2018,0.37497
AL001L1,2019,0.37435
AL001L1,2020,0.36675
AL003L1,2000,0.24642
AL003L1,2001,0.26005
AL003L1,2002,0.27027
AL003L1,2003,0.29652
AL003L1,2004,0.26986
AL003L1,2005,0.26056
AL003L1,2006,0.26919
AL003L1,2007,0.24577
AL003L1,2008,0.25652
AL003L1,2009,0.22773
AL003L1,2010,0.22689
AL003L1,2011,0.24625
AL003L1,2014,0.22562
AL003L1,2015,0.23838
AL003L1,2016,0.21323
AL003L1,2017,0.22908
AL003L1,2018,0.21855
AL003L1,2019,0.22102
AL003L1,2020,0.22629
AL004L1,2000,0.34091
AL004L1,2001,0.35905
AL004L1,2002,0.30939
AL004L1,2003,0.34952
AL004L1,2004,0.32611
AL004L1,2005,0.35729
AL004L1,2006,0.34677
AL004L1,2007,0.34306
AL004L1,2008,0.35925
AL004L1,2009,0.30246
AL004L1,2010,0.31754
AL004L1,2011,0.3187
AL004L1,2014,0.3001
AL004L1,2015,0.30243
AL004L1,2016,0.30325
AL004L1,2017,0.31185
AL004L1,2018,0.28569
AL004L1,2019,0.29613
AL004L1,2020,0.31228
AL005L0,2000,0.36298
AL005L0,2001,0.39113
AL005L0,2002,0.38208
AL005L0,2003,0.38915
AL005L0,2004,0.38387
AL005L0,2005,0.39011
AL005L0,2006,0.41042
AL005L0,2007,0.43643
AL005L0,2008,0.40138
AL005L0,2009,0.3786
AL005L0,2010,0.38284
AL005L0,2011,0.39505
AL005L0,2014,0.35262
AL005L0,2015,0.37876
AL005L0,2016,0.36619
AL005L0,2017,0.38147
AL005L0,2018,0.36842
AL005L0,2019,0.37332
AL005L0,2020,0.36496
AT001L3,2000,0.29248
AT001L3,2001,0.28449
AT001L3,2002,0.28414
AT001L3,2003,0.32534
AT001L3,2004,0.30011
AT001L3,2005,0.28042
AT001L3,2006,0.2931
AT001L3,2007,0.30875
AT001L3,2008,0.28437
AT001L3,2009,0.29621
AT001L3,2010,0.29322
AT001L3,2011,0.30836
AT001L3,2014,0.25868
AT001L3,2015,0.27202
AT001L3,2016,0.25802
AT001L3,2017,0.29134
AT001L3,2018,0.27239
AT001L3,2019,0.27339
AT001L3,2020,0.26115
AT002L3,2000,0.23777
AT002L3,2001,0.34612
AT002L3,2002,0.25404
AT002L3,2003,0.26218
AT002L3,2004,0.30311
AT002L3,2005,0.27515
AT002L3,2006,0.25552
AT002L3,2007,0.28973
AT002L3,2008,0.32614
AT002L3,2009,0.24626
AT002L3,2010,0.27503
AT002L3,2011,0.34296
AT002L3,2014,0.28678
AT002L3,2015,0.27586
AT002L3,2016,0.27626
AT002L3,2017,0.32564
AT002L3,2018,0.31069
AT002L3,2019,0.35787
AT002L3,2020,0.32333
AT003L3,2000,0.27716
AT003L3,2001,0.27383
AT003L3,2002,0.33563
AT003L3,2003,0.27067
AT003L3,2004,0.26256
AT003L3,2005,0.30115
AT003L3,2006,0.29424
AT003L3,2007,0.29892
AT003L3,2008,0.28018
AT003L3,2009,0.27763
AT003L3,2010,0.26933
AT003L3,2011,0.29216
AT003L3,2014,0.30856
AT003L3,2015,0.27972
AT003L3,2016,0.24566
AT003L3,2017,0.26067
AT003L3,2018,0.28863
AT003L3,2019,0.30688
AT003L3,2020,0.26618
AT004L3,2000,0.16414
AT004L3,2001,0.15369
AT004L3,2002,0.1616
AT004L3,2003,0.16398
AT004L3,2004,0.1756
AT004L3,2005,0.1765
AT004L3,2006,0.16537
AT004L3,2007,0.17977
AT004L3,2008,0.16583
AT004L3,2009,0.16761
AT004L3,2010,0.17833
AT004L3,2011,0.17797
AT004L3,2014,0.15344
AT004L3,2015,0.1675
AT004L3,2016,0.15873
AT004L3,2017,0.15603
AT004L3,2018,0.16217
AT004L3,2019,0.16274
AT004L3,2020,0.16201
AT005L3,2000,0.16057
AT005L3,2001,0.15298
AT005L3,2002,0.24602
AT005L3,2003,0.15382
AT005L3,2004,0.15787
AT005L3,2005,0.16612
AT005L3,2006,0.16161
AT005L3,2007,0.16597
AT005L3,2008,0.15497
AT005L3,2009,0.16316
AT005L3,2010,0.17116
AT005L3,2011,0.18398
AT005L3,2014,0.13453
AT005L3,2015,0.14791
AT005L3,2016,0.14588
AT005L3,2017,0.14998
AT005L3,2018,0.15134
AT005L3,2019,0.15559
AT005L3,2020,0.15266
AT006L2,2000,0.15844
AT006L2,2001,0.16846
AT006L2,2002,0.15123
AT006L2,2003,0.15827
AT006L2,2004,0.17809
AT006L2,2005,0.17998
AT006L2,2006,0.17846
AT006L2,2007,0.18986
AT006L2,2008,0.18379
AT006L2,2009,0.18283
AT006L2,2010,0.18982
AT006L2,2011,0.19114
AT006L2,2014,0.18748
AT006L2,2015,0.17448
AT006L2,2016,0.18302
AT006L2,2017,0.1961
AT006L2,2018,0.18458
AT006L2,2019,0.20589
AT006L2,2020,0.20002
BA001L1,2000,
BA001L1,2001,
BA001L1,2002,
BA001L1,2003,
BA001L1,2004,
BA001L1,2005,
BA001L1,2006,
BA001L1,2007,
BA001L1,2008,
BA001L1,2009,
BA001L1,2010,
BA001L1,2011,
BA001L1,2014,
BA001L1,2015,
BA001L1,2016,
BA001L1,2017,
BA001L1,2018,
BA001L1,2019,
BA001L1,2020,
BA002L1,2000,0.29579
BA002L1,2001,0.45222
BA002L1,2002,0.19745
BA002L1,2003,0.30583
BA002L1,2004,0.27432
BA002L1,2005,0.32616
BA002L1,2006,0.33088
