fua_code,mean_annual_change_pct,p_value,slope,slope_degrees
AL001L1,-0.2793,0.03,-0.22,-12.48
AL003L1,-0.389,0.0,-0.27,-15.33
AL004L1,-0.3999,0.0,-0.27,-14.96
AL005L0,0.026,0.09,-0.12,-6.6
AT001L3,-0.5101,0.01,-0.16,-9.24
AT002L3,1.7135,0.06,0.25,13.88
AT003L3,-0.1886,0.47,-0.06,-3.29
AT004L3,-0.0618,0.36,-0.03,-1.64
AT005L3,-0.2346,0.08,-0.14,-8.2
AT006L2,1.2497,0.0,0.17,9.76
BA001L1,,,,
BA002L1,-0.2333,0.45,-0.15,-8.55
BA003L1,,,,
BA004L1,,,,
BA005L1,,,,
BE001L2,-0.0765,0.02,-0.11,-6.3
BE002L2,0.7345,0.35,0.05,2.6
BE003L2,0.5053,0.94,0.0,0.23
BE004L2,0.419,0.01,-0.2,-11.5
BE005L2,0.1103,0.01,-0.23,-13.05
BE006L2,0.3174,0.56,-0.04,-2.28
BE007L2,1.1022,0.71,-0.03,-1.87
BE008L1,0.182,0.09,-0.16,-9.19
BE009L1,0.7584,0.13,-0.14,-7.89
BE010L1,-0.2259,0.03,-0.29,-16.18
BE011L1,-0.0045,0.19,-0.07,-3.87
BG001L2,-1.7561,0.11,-0.78,-38.09
BG002L2,-1.8207,0.0,-1.1,-47.84
BG003L2,-0.4394,0.01,-0.62,-31.85
BG004L2,-1.7821,0.0,-1.13,-48.61
BG005L1,-2.0512,0.0,-1.36,-53.73
BG006L2,-1.9068,0.0,-1.32,-52.95
BG007L2,-2.7556,0.01,-1.55,-57.11
BG008L2,-2.3173,0.0,-1.41,-54.75
BG009L1,-2.0377,0.0,-1.42,-54.82
BG010L1,-1.126,0.02,-0.98,-44.44
BG011L1,-1.3413,0.0,-0.82,-39.5
BG013L1,-2.0145,0.0,-1.27,-51.74
BG014L1,-2.1162,0.0,-1.04,-46.05
BG015L1,-2.7116,0.0,-1.12,-48.32
BG016L1,-2.3179,0.02,-0.62,-31.69
BG017L1,-2.1611,0.0,-0.73,-36.17
BG018L1,-2.3357,0.03,-1.13,-48.41
CH001L2,0.3933,0.15,-0.07,-4.22
