fua_code,fua_name,slope,slope_degrees,mean_annual_change_pct,p_value
AL001L1,Tirana,0.0048,0.28,0.6302,0.0
AL003L1,Elbasan,0.0068,0.39,0.9553,0.0
AL004L1,ShkodÃ«r,0.0025,0.14,0.1068,0.01
AL005L0,VlorÃ«,0.0066,0.38,0.9309,0.0
AT001L3,Wien,0.0008,0.05,0.2996,0.49
AT002L3,Graz,0.0004,0.02,-0.231,0.76
AT003L3,Linz,0.0022,0.13,0.2036,0.04
AT004L3,Salzburg,0.0021,0.12,0.3015,0.04
AT005L3,Innsbruck,0.0034,0.2,-0.1243,0.03
AT006L2,Klagenfurt,0.0002,0.01,-0.158,0.85
BA001L1,Sarajevo,0.0026,0.15,0.0897,0.05
BA002L1,Banja Luka,0.0028,0.16,0.4846,0.01
BA003L1,Mostar,0.0028,0.16,0.1303,0.03
BA004L1,Tuzla,0.0027,0.15,0.2302,0.02
BA005L1,Zenica,0.002,0.11,0.0735,0.13
BE001L2,Bruxelles / Brussel,0.0014,0.08,-0.3083,0.22
BE002L2,Antwerpen,0.0014,0.08,-0.21,0.24
BE003L2,Gent,0.0007,0.04,-0.4343,0.6
BE004L2,Charleroi,0.0001,0.01,-0.4835,0.89
BE005L2,LiÃ¨ge,0.0007,0.04,-0.3053,0.37
BE006L2,Brugge,0.0016,0.09,-0.3163,0.26
BE007L2,Namur,-0.0009,-0.05,-0.4307,0.2
BE008L1,Leuven,0.0011,0.06,-0.203,0.25
BE009L1,Mons,0.0014,0.08,-0.4884,0.38
BE010L1,Kortrijk,0.0003,0.02,-0.4377,0.84
BE011L1,Oostende,0.0017,0.1,0.0345,0.2
BG001L2,Sofia,0.0034,0.19,0.5586,0.12
BG002L2,Plovdiv,0.0063,0.36,1.1708,0.0
BG003L2,Varna,0.0034,0.19,0.2073,0.01
BG004L2,Burgas,0.0063,0.36,0.8748,0.0
BG005L1,Pleven,0.0067,0.39,1.0624,0.0
BG006L2,Ruse,0.0067,0.38,1.0945,0.0
BG007L2,Vidin,0.0063,0.36,1.1741,0.01
BG008L2,Stara Zagora,0.0069,0.39,1.0688,0.0
BG009L1,Sliven,0.0051,0.29,0.7723,0.0
BG010L1,Dobrich,0.0042,0.24,0.4641,0.01
BG011L1,Shumen,0.0042,0.24,0.6074,0.0
BG013L1,Yambol,0.006,0.35,1.056,0.0
BG014L1,Haskovo,0.0074,0.43,1.3203,0.0
BG015L1,Pazardzhik,0.0069,0.4,1.7831,0.0
BG016L1,Blagoevgrad,0.0046,0.27,0.8075,0.0
BG017L1,Veliko Tarnovo,0.0062,0.35,0.9216,0.0
BG018L1,Vratsa,0.0052,0.3,1.0822,0.09
CH001L2,ZÃ¼rich,0.002,0.11,0.0606,0.0
CH002L2,GenÃ¨ve,0.0031,0.18,-0.0942,0.01
CH003L2,Basel,0.0023,0.13,-0.0488,0.01
CH004L2,Bern,0.0035,0.2,0.0658,0.0
CH005L2,Lausanne,0.0031,0.18,-0.0783,0.0
CH006L1,Winterthur,0.0014,0.08,0.0283,0.04
CH007L2,St. Gallen,0.0029,0.16,0.0344,0.03
CH008L2,Luzern,0.0027,0.15,0.1713,0.02
CH009L2,Lugano,0.0055,0.31,0.4726,0.07
CH010L1,Biel/Bienne,0.0015,0.09,-0.141,0.07
CY001L2,Lefkosia,0.0032,0.18,1.549,0.01
CY501L2,Lemesos,0.0045,0.26,1.389,0.0
CZ001L2,Praha,0.0017,0.1,0.0785,0.22
CZ002L2,Brno,0.0006,0.03,0.2757,0.68
CZ003L2,Ostrava,0.004,0.23,-0.0112,0.04
CZ004L2,PlzeÅ,0.002,0.12,0.1972,0.16
CZ005L2,ÃstÃ­ nad Labem,-0.0001,-0.01,-0.2003,0.93
CZ006L2,Olomouc,0.0017,0.1,0.0017,0.18
CZ007L2,Liberec,0.0007,0.04,-0.0836,0.56
CZ008L2,ÄeskÃ© BudÄjovice,0.0034,0.2,0.5875,0.0
CZ009L2,Hradec KrÃ¡lovÃ©,0.001,0.05,-0.0078,0.5
CZ010L2,Pardubice,0.0016,0.09,0.051,0.26
CZ011L2,ZlÃ­n,0.0017,0.09,0.3345,0.19
CZ013L2,Karlovy Vary,0.0009,0.05,-0.4333,0.52
CZ014L2,Jihlava,0.0026,0.15,0.0489,0.04
CZ016L2,Most,0.0025,0.15,-0.3266,0.06
CZ018L2,Chomutov-Jirkov,0.0033,0.19,-0.2589,0.03
DE001L1,Berlin,0.0026,0.15,0.1081,0.02
DE002L1,Hamburg,0.0003,0.02,0.0005,0.81
DE003L1,MÃ¼nchen,0.0029,0.17,-0.1908,0.05
DE004L1,KÃ¶ln,0.0016,0.09,-0.4141,0.18
DE005L1,Frankfurt am Main,0.0012,0.07,-0.5026,0.44
DE007L1,Stuttgart,0.0021,0.12,-0.1846,0.11
DE008L2,Leipzig,0.0036,0.21,0.8818,0.05
DE009L2,Dresden,0.0029,0.16,0.5101,0.03
DE011L1,DÃ¼sseldorf,0.0015,0.09,-0.4757,0.25
DE012L1,Bremen,0.0006,0.03,-0.0718,0.62
DE013L1,Hannover,0.0021,0.12,0.0162,0.13
DE014L1,NÃ¼rnberg,0.0029,0.17,-0.0852,0.02
DE017L0,Bielefeld,0.001,0.06,-0.2032,0.46
DE018L1,Halle an der Saale,0.0039,0.22,0.474,0.03
DE019L2,Magdeburg,0.0026,0.15,-0.0087,0.05
DE020L1,Wiesbaden,0.0014,0.08,-0.3942,0.46
DE021L1,GÃ¶ttingen,0.0019,0.11,-0.3392,0.28
DE025L1,Darmstadt,0.0023,0.13,-0.203,0.18
DE026L1,Trier,0.004,0.23,-0.3607,0.04
DE027L1,Freiburg im Breisgau,0.0031,0.18,0.1667,0.0
DE028L1,Regensburg,0.0022,0.13,-0.0663,0.06
DE029L0,Frankfurt (Oder),0.002,0.11,0.1028,0.11
DE030L1,Weimar,0.0012,0.07,-0.1425,0.6
DE031L1,Schwerin,0.0013,0.07,-0.027,0.32
DE032L1,Erfurt,0.0018,0.1,0.0291,0.29
DE033L1,Augsburg,0.0027,0.15,-0.3517,0.09
DE034L1,Bonn,0.0021,0.12,-0.3393,0.12
DE035L1,Karlsruhe,0.0023,0.13,-0.4436,0.18
DE036L0,MÃ¶nchengladbach,0.0012,0.07,-0.3816,0.38
DE037L1,Mainz,0.0017,0.1,-0.7064,0.35
DE038L1,Ruhrgebiet,0.0006,0.04,-0.4106,0.57
DE039L1,Kiel,0.0003,0.02,0.0493,0.87
DE040L1,SaarbrÃ¼cken,0.0033,0.19,-0.4986,0.07
DE042L1,Koblenz,0.0019,0.11,-0.5905,0.29
DE043L2,Rostock,0.0008,0.04,-0.1772,0.56
DE044L1,Kaiserslautern,0.0022,0.13,-0.5898,0.18
DE045L1,Iserlohn,-0.0004,-0.02,-0.4317,0.76
DE048L1,Wilhelmshaven,0.0008,0.05,-0.164,0.6
DE050L1,TÃ¼bingen,0.0028,0.16,-0.1495,0.05
DE051L1,Villingen-Schwenningen,0.0026,0.15,-0.0284,0.02
DE052L1,Flensburg,-0.0004,-0.02,-0.0809,0.76
DE053L1,Marburg,0.0003,0.02,-0.5775,0.85
DE054L1,Konstanz,0.0016,0.09,-0.1609,0.07
DE055L0,NeumÃ¼nster,0.0006,0.03,-0.1104,0.66
DE056L0,Brandenburg an der Havel,0.0019,0.11,-0.0662,0.19
DE057L1,GieÃen,0.0011,0.06,-0.4829,0.5
DE058L1,LÃ¼neburg,0.0019,0.11,-0.0014,0.13
DE059L1,Bayreuth,0.0019,0.11,-0.2582,0.16
DE060L1,Celle,0.0031,0.18,0.1172,0.03
DE061L1,Aschaffenburg,0.0016,0.09,-0.2608,0.29
DE062L1,Bamberg,0.0019,0.11,-0.3023,0.2
DE063L1,Plauen,0.0027,0.16,-0.3596,0.09
DE064L1,Neubrandenburg,0.002,0.11,-0.0212,0.11
DE065L1,Fulda,0.0006,0.03,-0.2291,0.6
DE066L1,Kempten (AllgÃ¤u),0.0051,0.29,0.1791,0.02
DE067L1,Landshut,0.0022,0.13,0.0403,0.1
DE069L1,Rosenheim,0.0032,0.18,0.212,0.04
DE071L1,Stralsund,0.0013,0.07,-0.2616,0.38
DE072L1,Friedrichshafen,0.0021,0.12,-0.0474,0.04
DE073L1,Offenburg,0.0026,0.15,0.0916,0.02
DE074L1,GÃ¶rlitz,0.0025,0.14,0.2322,0.04
DE077L1,Schweinfurt,0.001,0.06,-0.1805,0.4
DE078L1,Greifswald,0.0013,0.07,-0.0293,0.28
DE079L1,Wetzlar,-0.0001,-0.0,-0.4777,0.97
DE081L1,Passau,0.0014,0.08,0.0011,0.09
DE082L0,Dessau-RoÃlau,0.0028,0.16,0.0154,0.09
DE083L1,Braunschweig-Salzgitter-Wolfsburg,0.0017,0.1,-0.2279,0.17
DE084L1,Mannheim-Ludwigshafen,0.0028,0.16,-0.3185,0.08
DE504L1,MÃ¼nster,0.0011,0.06,-0.4677,0.45
DE505L0,Chemnitz,0.0018,0.1,-0.1014,0.08
DE507L1,Aachen,0.0019,0.11,-0.1428,0.09
DE508L0,Krefeld,0.0014,0.08,-0.4713,0.41
DE510L1,LÃ¼beck,0.0003,0.02,0.0448,0.85
DE513L1,Kassel,0.0012,0.07,-0.4627,0.54
DE516L0,Solingen,-0.0001,-0.01,-0.5209,0.9
DE517L1,OsnabrÃ¼ck,0.0021,0.12,-0.1686,0.24
DE520L1,Oldenburg (Oldenburg),0.0015,0.09,-0.2364,0.38
DE522L1,Heidelberg,0.0011,0.06,-0.4908,0.47
DE523L1,Paderborn,0.001,0.06,-0.3997,0.55
